Symbol,Weighting,SPX
CDE,XME,0
CENX,XME,0
MTRN,XME,0
RYI,XME,0
CMP,XME,0
KALU,XME,0
SXC,XME,0
PLL,XME,0
WS,XME,0
MTUS,XME,0
METC,XME,0
ZEUS,XME,0
RDUS,XME,0
HAYN,XME,0
SM,XOP,0
AR,XOP,0
FANG,XOP,0
PR,XOP,0
OVV,XOP,0
MPC,XOP,0
MTDR,XOP,0
VLO,XOP,0
PBF,XOP,0
PSX,XOP,0
SWN,XOP,0
HES,XOP,0
OXY,XOP,0
RRC,XOP,0
DINO,XOP,0
CVX,XOP,0
XOM,XOP,0
CNX,XOP,0
CTRA,XOP,0
PXD,XOP,0
CPE,XOP,0
CHRD,XOP,0
TPL,XOP,0
MRO,XOP,0
COP,XOP,0
EQT,XOP,0
DVN,XOP,0
CIVI,XOP,0
NOG,XOP,0
EOG,XOP,0
MUR,XOP,0
MGY,XOP,0
APA,XOP,0
VTLE,XOP,0
CRK,XOP,0
DK,XOP,0
CVI,XOP,0
PARR,XOP,0
KOS,XOP,0
CRC,XOP,0
GPRE,XOP,0
GPOR,XOP,0
TALO,XOP,0
TELL,XOP,0
STR,XOP,0
WKC,XOP,0
SBOW,XOP,0
WTI,XOP,0
CRGY,XOP,0
BRY,XOP,0
CLNE,XOP,0
VTS,XOP,0
EGY,XOP,0
REX,XOP,0
BLDR,XHB,0
TOL,XHB,0
WSM,XHB,0
TT,XHB,0
MAS,XHB,0
FND,XHB,0
NVR,XHB,0
LOW,XHB,0
HD,XHB,0
PHM,XHB,0
LEN,XHB,0
CSL,XHB,0
LII,XHB,0
DHI,XHB,0
JCI,XHB,0
OC,XHB,0
CARR,XHB,0
ALLE,XHB,0
TPX,XHB,0
BLD,XHB,0
WMS,XHB,0
AOS,XHB,0
TREX,XHB,0
FBIN,XHB,0
IBP,XHB,0
TMHC,XHB,0
SKY,XHB,0
MDC,XHB,0
TPH,XHB,0
MHO,XHB,0
CVCO,XHB,0
LGIH,XHB,0
GRBK,XHB,0
CCS,XHB,0
DFH,XHB,0
NVDA,SMH,0
TSM,SMH,0
AVGO,SMH,0
AMD,SMH,0
ASML,SMH,0
AMAT,SMH,0
LRCX,SMH,0
QCOM,SMH,0
INTC,SMH,0
TXN,SMH,0
ADI,SMH,0
KLAC,SMH,0
MU,SMH,0
SNPS,SMH,0
CDNS,SMH,0
NXPI,SMH,0
MRVL,SMH,0
MCHP,SMH,0
STM,SMH,0
MPWR,SMH,0
ON,SMH,0
SWKS,SMH,0
TER,SMH,0
QRVO,SMH,0
OLED,SMH,0
ADI,SOXX,0
STM,SOXX,0
LSCC,SOXX,0
MKSI,SOXX,0
RMBS,SOXX,0
ACLS,SOXX,0
WOLF,SOXX,0
