ticker,ETF,Exchange
SMCI,SPX
PLTR,IGV
HUBS,IGV
ZM,IGV
MANH,IGV
NTNX,IGV
MSTR,IGV
BSY,IGV
DT,IGV
SNAP,IGV
ESTC,IGV
DOCU,IGV
PATH,IGV
OTEX,IGV
GWRE,IGV
APP,IGV
CFLT,IGV
DSGX,IGV
U,IGV
PCOR,IGV
S,IGV
SPSC,IGV
QLYS,IGV
GTLB,IGV
BILL,IGV
DBX,IGV
MARA,IGV
SMAR,IGV
IOT,IGV
TENB,IGV
VRNS,IGV
AZPN,IGV
APPF,IGV
DLB,IGV
FIVN,IGV
ALTR,IGV
ASAN,IGV
COIN,ARKK
DKNG,ARKK
SQ,ARKK
ROKU,ARKK
RBLX,ARKK
HOOD,ARKK
SHOP,ARKK
DECK,SP400
RS,SP400
VST,SP400
CSL,SP400
GDDY,SP400
MANH,SP400
PSTG,SP400
GGG,SP400
SAIA,SP400
WSM,SP400
LII,SP400
RPM,SP400
EME,SP400
LECO,SP400
XPO,SP400
WSO,SP400
BURL,SP400
OC,SP400
FNF,SP400
FND,SP400
NBIX,SP400
BLD,SP400
ELS,SP400
OVV,SP400
ACM,SP400
TOL,SP400
WPC,SP400
GLPI,SP400
CELH,SP400
PFGC,SP400
DT,SP400
RNR,SP400
AMH,SP400
RGA,SP400
IBKR,SP400
ELF,SP400
USFD,SP400
KNSL,SP400
RRX,SP400
CASY,SP400
WMS,SP400
FIVE,SP400
NVT,SP400
FIX,SP400
DKS,SP400
EQH,SP400
SCI,SP400
REXR,SP400
UTHR,SP400
LSCC,SP400
X,SP400
CLF,SP400
WING,SP400
ITT,SP400
EWBC,SP400
FBIN,SP400
ERIE,SP400
RGEN,SP400
ALLY,SP400
TXRH,SP400
TREX,SP400
CG,SP400
CUBE,SP400
BJ,SP400
SWAV,SP400
LAMR,SP400
TTC,SP400
NLY,SP400
CHE,SP400
THC,SP400
TTEK,SP400
WEX,SP400
TPX,SP400
MEDP,SP400
BWXT,SP400
CCK,SP400
ATR,SP400
CHK,SP400
CLH,SP400
UNM,SP400
KNX,SP400
JLL,SP400
LNW,SP400
PEN,SP400
ONTO,SP400
CW,SP400
SSD,SP400
EXP,SP400
MTN,SP400
WTRG,SP400
ALV,SP400
DINO,SP400
DCI,SP400
PRI,SP400
WWD,SP400
GNTX,SP400
CIEN,SP400
CACI,SP400
AFG,SP400
CHDN,SP400
LAD,SP400
PVH,SP400
SKX,SP400
MIDD,SP400
WBS,SP400
EGP,SP400
KBR,SP400
MUSA,SP400
CNM,SP400
BRKR,SP400
LEA,SP400
GPK,SP400
ARMK,SP400
RBC,SP400
FHN,SP400
COHR,SP400
AYI,SP400
MORN,SP400
SF,SP400
MKSI,SP400
ACHC,SP400
SWN,SP400
INGR,SP400
RRC,SP400
OHI,SP400
OLED,SP400
ORI,SP400
JAZZ,SP400
BRBR,SP400
EHC,SP400
SAIC,SP400
CROX,SP400
NNN,SP400
WFRD,SP400
FCN,SP400
PCTY,SP400
NYT,SP400
AR,SP400
OSK,SP400
AXTA,SP400
VOYA,SP400
UFPI,SP400
HQY,SP400
HRB,SP400
JEF,SP400
FR,SP400
MAT,SP400
MTDR,SP400
CFR,SP400
BERY,SP400
LSTR,SP400
AGCO,SP400
THO,SP400
EXEL,SP400
MSA,SP400
BRX,SP400
H,SP400
CGNX,SP400
STAG,SP400
DAR,SP400
SEIC,SP400
RGLD,SP400
CHRD,SP400
VNT,SP400
HLI,SP400
NOV,SP400
OLN,SP400
OGE,SP400
WCC,SP400
EVR,SP400
PR,SP400
SSB,SP400
RMBS,SP400
ARW,SP400
PNFP,SP400
WH,SP400
SFM,SP400
SIGI,SP400
QLYS,SP400
CMC,SP400
FLR,SP400
HXL,SP400
NOVT,SP400
GMED,SP400
CBSH,SP400
GXO,SP400
DBX,SP400
TMHC,SP400
CHX,SP400
STWD,SP400
FAF,SP400
BC,SP400
SNX,SP400
GTLS,SP400
CR,SP400
VVV,SP400
LFUS,SP400
WTFC,SP400
